zone_id,pincode_number
6,494001
6,494221
6,494010
6,494224
6,494442
6,494223
6,494222
6,494111
6,494005
6,494331
6,494228
6,494230
6,494347
6,494229
6,494226
6,494446
6,494447
6,494448
6,494444
6,494552
6,495555
6,495116
6,495001
6,495006
6,495223
6,495004
6,495009
6,495224
6,495220
6,495222
6,495112
6,495550
6,495668
6,495113
6,495115
6,495551
6,495663
6,495334
6,495335
6,495119
6,495117
6,495118
6,495442
6,495330
6,494449
6,494441
6,494556
6,494553
6,494551
6,494122
6,494115
6,494114
6,493778
6,493773
6,493770
6,493776
6,493663
6,490001
6,491001
6,491226
6,491228
6,491335
6,491332
6,490036
6,491331
6,491771
6,490021
6,490025
6,490009
6,490006
6,490024
6,490026
6,490023
6,490011
6,490020
6,490022
6,491223
6,491221
6,491225
6,491222
6,491227
6,491340
6,491337
6,491111
6,491107
6,490042
6,491993
6,491338
6,495559
6,495695
6,495552
6,495687
6,495660
6,495671
6,495661
6,495692
6,495688
6,495549
6,495690
6,495553
6,495556
6,495691
6,491881
6,491229
6,491666
6,491441
6,491444
6,497220
6,497114
6,497001
6,497119
6,497118
6,497224
6,497116
6,497225
6,497223
6,497101
6,497111
6,497231
6,497226
6,497235
6,497333
6,497229
